,para,dates,para_lemma,len,year,avg_year,num_years,year_25group,year_50group
256,"Yerba Buena was soon emptied of its able-bodied men, many of whom purchased picks, shovels, and other mining supplies from Brannan, who understood that the most reliable way to wealth was to sell picks to the would-be prospectors. When President Polk confirmed the strike in his final annual message of December 1848, the gold rush became national, even international in scope, attracting people from China, Sonora, Europe, and South America as well as the United States. Steamship companies advertised transportation to the “inexhaustible” gold mines of California, of great wealth to be had for the taking if only one could get there.26","['annual', 'December 1848']",yerba buena soon empty able bodied man purchase pick shovel mining supply brannan understand reliable way wealth sell pick prospector president polk confirm strike final annual message december 1848 gold rush national international scope attract people china sonora europe south america united state steamship company advertise transportation “ inexhaustible ” gold mine california great wealth taking there.26,57,[1848],1848,1,1850,1850
257,"In its timing and long-term consequence, the discovery of gold in California in the wake of its acquisition remains perhaps the single greatest piece of luck in American history. In a matter of months, California went from being a dream in the eye of expansionist visionaries to a key part of the American Empire, the ultimate land of opportunity in the land of opportunity. San Francisco almost immediately became a major Pacific emporium, a keystone between goods and people arriving from the East Coast and Europe and those coming from the Asian-Pacific region. By the early 1850s, tens of thousands of Chinese immigrants were coming by boat from Canton, lured to California by reports of a fabled “gold mountain” to be had. By 1860, approximately $500 million in gold had been extracted from the region; the establishment of the San Francisco mint in 1854 allowed the gold to be monetized into hard currency, providing a reliable and much-needed medium of exchange. Together with the increasing commercial penetration of China, the establishment of Hawaii as a de facto protectorate, and the subsequent “opening” of Japan, the gold rush marks the definitive beginning of the United States as a Pacific power.","['months', 'the early 1850s', '1860', '1854']",timing long term consequence discovery gold california wake acquisition remain single great piece luck history matter month california go dream eye expansionist visionary key empire ultimate land opportunity land opportunity san francisco immediately major pacific emporium keystone good people arrive east coast europe come asian pacific region early 1850 ten thousand chinese immigrant come boat canton lure california report fabled “ gold mountain ” 1860 approximately 500 million gold extract region establishment san francisco mint 1854 allow gold monetize hard currency provide reliable need medium exchange increase commercial penetration china establishment hawaii de facto protectorate subsequent “ opening ” japan gold rush mark definitive beginning united state pacific power,109,"[1850, 1860, 1854]",1855,3,1875,1900
258,"The discovery of gold in California gave a dramatic boost to what had been a slowly growing U.S. interest in a Central American isthmian crossing. The Isthmus of Panama had long seemed to be the most likely place for such a crossing, but engineers also eyed alternative possible routes in Honduras, Nicaragua, and across Tehuantepec in Mexico. Although an interoceanic canal remained a distant dream, by 1850 plans commenced to build a railroad connecting Atlantic and Pacific ports. Americans had been exploring the possibilities of an isthmian crossing since the 1820s; the acquisition of Oregon in 1846 heightened interest in what was the most strategic locale in the hemisphere south of the Rio Grande. As the imperial republic expanded westward toward Asia by land and by sea, the critical importance of Panama became undeniable. Recognizing this, the Polk administration moved to secure the American presence in Panama. In 1846, the Bidlack-Mallarmino Treaty with Colombia (then known as Nueva Granada) designated the United States as the guarantor both of Colombia’s continued sovereignty and of the international right of transit across the isthmus. Little known today, the Bidlack Treaty marked another significant step in the creation of both a hemispheric and a global American Empire. It made a nice counterweight to the rising British influence over the coastal region of Nicaragua known as the Mosquito Coast. Once again Americans contended with the British for influence over a distant region.","['1850', 'the 1820s', '1846', '1846', 'today']",discovery gold california give dramatic boost slowly grow u.s interest central isthmian crossing isthmus panama long likely place crossing engineer eyed alternative possible route hondura nicaragua tehuantepec mexico interoceanic canal remain distant dream 1850 plan commence build railroad connect atlantic pacific port american explore possibility isthmian crossing 1820s acquisition oregon 1846 heighten interest strategic locale hemisphere south rio grande imperial republic expand westward asia land sea critical importance panama undeniable recognize polk administration move secure presence panama 1846 bidlack mallarmino treaty colombia know nueva granada designate united state guarantor colombia ’s continue sovereignty international right transit isthmus little known today bidlack treaty mark significant step creation hemispheric global empire nice counterweight rise british influence coastal region nicaragua know mosquito coast american contend british influence distant region,126,"[1850, 1820, 1846, 1846]",1840,4,1850,1850
259,"Interest in a canal required a more vigorous U.S. role in the region than otherwise would have been the case. Relations with the nations of Latin America generally and Central America in particular had been marked by suspicion bordering on contempt from the time of the recognition controversy of 1817. The Monroe administration had made it clear that its proclamation of the principles of nonintervention and noncolonization did not necessarily imply a willingness to apply them multilaterally. Americans had no more desire to become “entangled” with other states in the hemisphere than they did with those in Europe. Southern members of Congress actively sought to limit diplomatic contacts with Latin America, quashing U.S. efforts to participate in the Panama Congress of 1826. Yet the existence of a clear and compelling interest, as in the case of an isthmian crossing, resulted in an active, if patronizing, policy toward the Central American nations.",['1817'],interest canal require vigorous u.s role region case relation nation latin america generally central america particular mark suspicion border contempt time recognition controversy 1817 monroe administration clear proclamation principle nonintervention noncolonization necessarily imply willingness apply multilaterally americans desire “ entangled ” state hemisphere europe southern member congress actively seek limit diplomatic contact latin america quash u.s effort participate panama congress 1826 existence clear compelling interest case isthmian crossing result active patronize policy central nation,74,[1817],1817,1,1825,1850
260,"Canal or no canal, Polk’s confirmation of the discovery of gold in his annual message to Congress in December 1848 escalated the importance of Panama as the fastest way to California. Overland, immigrants faced a rugged journey along a cholera-pocked trail and extremes of heat and cold, usually taking about four months to go from St. Louis to the gold fields. The ocean voyage via the rough waters of Cape Horn was fourteen thousand miles and also took four to five months. The isthmian crossing, in contrast – involving two relatively short boat trips sandwiched around a three- to ten-day journey via foot and bongos, the canoelike vessels used for centuries to ferry people from one ocean to the other – took six to eight weeks. As early as 1847, the U.S. Mail Steamship Company (headed by George Law) and the Pacific Mail Company (headed by William Aspinwall) established a privately owned and government-subsidized mail service to the West Coast via the isthmus. By the mid-1850s, Cornelius Vanderbilt had built a railroad line connecting the Atlantic and the Pacific.28","['annual', 'December 1848', 'about four months', 'four to five months', 'ten-day', 'centuries', 'six to eight weeks', '1847', 'the mid-1850s']",canal canal polk ’s confirmation discovery gold annual message congress december 1848 escalate importance panama fast way california overland immigrant face rugged journey cholera pock trail extreme heat cold usually take month st louis gold field ocean voyage rough water cape horn fourteen thousand mile take month isthmian crossing contrast – involve relatively short boat trip sandwich three- day journey foot bongo canoelike vessel century ferry people ocean – take week early 1847 u.s mail steamship company head george law pacific mail company head william aspinwall establish privately own government subsidize mail service west coast isthmus mid-1850 cornelius vanderbilt build railroad line connect atlantic pacific.28,105,"[1848, 1847, 1850]",1848,3,1850,1850
261,"By 1849, the United States and Great Britain, having only recently averted a conflict over Oregon, found themselves in an emerging rivalry over who would control the canal they knew would eventually be built somewhere in Central America. It was obvious that if a canal were constructed, it would be of crucial importance in the emerging world economy. Neither nation wanted to concede the right to build and own a canal, but neither did they wish to fight over it. In 1850, Secretary of State John Clayton and British minister Sir Henry Lytton Bulwer negotiated an agreement in which both parties pledged never to make a bid for exclusive control of a future canal, to guarantee the neutrality of any canal, and to refrain from direct control over the Central American states in the region. Although the agreement did defuse Anglo-American tensions, it is anomalous in the history of American foreign relations in that it contained a self-denying ordinance of the sort that American statecraft tried to avoid as a cardinal principle. Yet in certain respects the Clayton-Bulwer Treaty merely reprised the joint occupation agreement over Oregon, affirming an American claim to the region without the need to directly confront Great Britain over it, at least at that time.","['1849', '1850']",1849 united state great britain have recently avert conflict oregon find emerge rivalry control canal know eventually build central america obvious canal construct crucial importance emerge world economy nation want concede right build canal wish fight 1850 secretary state john clayton british minister sir henry lytton bulwer negotiate agreement party pledge bid exclusive control future canal guarantee neutrality canal refrain direct control central state region agreement defuse anglo tension anomalous history foreign relation contain self deny ordinance sort statecraft try avoid cardinal principle certain respect clayton bulwer treaty merely reprise joint occupation agreement oregon affirm claim region need directly confront great britain time,103,"[1849, 1850]",1850,2,1875,1900
262,"The war on Mexico had gone better than Polk or anyone else could have anticipated. True, it had cost approximately twelve thousand American lives (the abysmal sanitary conditions, especially for the volunteers, meant that most of the deaths had been non–combat related); it had cost the U.S. Treasury approximately $100 million, plus the roughly $20 million in costs associated with the peace treaty. It had cost the lives of an estimated fifty thousand Mexicans – soldiers and civilians – along with the devastation of large portions of Mexico. The behavior of the invading American troops had been at times atrocious, and Mexico emerged from the war having lost half its territory and much of its sense of national dignity. However, the war had provided inestimable imperial benefits to the United States: In addition to the massive territorial gains, the war affirmed the undisputed superiority of the United States in the Western Hemisphere. The Monroe Doctrine had been invoked and applied for all to see; by themselves, the bonanza of the gold strike in California and the subsequent silver rush in Nevada justified the costs of the war, at least in material terms. The loud and principled opposition to the war fell mute in the peace, and the loudest opponent of them all, John Quincy Adams, could no longer be heard, having died from a stroke suffered in February 1848 while at his congressional desk.","['–', 'February 1848']",war mexico go good polk anticipate true cost approximately thousand life abysmal sanitary condition especially volunteer mean death non – combat relate cost u.s treasury approximately 100 million plus roughly 20 million cost associate peace treaty cost life estimate thousand mexican – soldier civilian – devastation large portion mexico behavior invade troop time atrocious mexico emerge war have lose half territory sense national dignity war provide inestimable imperial benefit united state addition massive territorial gain war affirm undisputed superiority united state western hemisphere monroe doctrine invoke apply bonanza gold strike california subsequent silver rush nevada justify cost war material term loud principled opposition war fall mute peace loud opponent john quincy adams longer hear have die stroke suffer february 1848 congressional desk,122,[1848],1848,1,1850,1850
263," The principled objections of Adams, Benton, Calhoun, and others paled in importance to the practical objections to the possible territorial acquisitions raised by David Wilmot, a Democrat House member from Pennsylvania. No friend of the abolitionists, Wilmot had voted for the war. But when in August 1846 Polk requested $2 million from Congress to pay for the “extraordinary expenses” incurred by the administration in dealing with foreign states (specifically the costs associated with bribing Mexican officials, starting with Santa Ana), Wilmot proposed to qualify the appropriation by adding to the House version a resolution barring slavery from any new lands acquired as a result of the war. Modeled along the lines of similar restrictions in the Northwest Ordinance of 1787, the resolution spoke not on behalf of slaves but on behalf of working-class white men, who could not successfully compete in a slave labor–based society and who did not want to inhabit a state with a large black population be it slave or free. For the survival of the Union, this represented an ominous turn of events. Wilmot championed the white working man who saw his opportunities foreshortened and the dignity of his labor impugned by the institution of slavery. This marked the birth of the Free Soil movement, a progenitor of the Republican party. Now the relatively few Americans who opposed slavery on principle would be joined by a mass of people who opposed it based on economic interest. What Wilmot himself called his “White Man’s Proviso” gave a mighty boost to those who sought to stop the further extension of slavery’s domain.29","['August 1846', '1787']",principled objection adam benton calhoun pal importance practical objection possible territorial acquisition raise david wilmot democrat house member pennsylvania friend abolitionist wilmot vote war august 1846 polk request 2 million congress pay “ extraordinary expense ” incur administration deal foreign state specifically cost associate bribe mexican official start santa ana wilmot propose qualify appropriation add house version resolution bar slavery new land acquire result war model line similar restriction northwest ordinance 1787 resolution speak behalf slave behalf work class white man successfully compete slave labor – base society want inhabit state large black population slave free survival union represent ominous turn event wilmot champion white work man see opportunity foreshorten dignity labor impugn institution slavery mark birth free soil movement progenitor republican party relatively american oppose slavery principle join mass people oppose base economic interest wilmot call “ white man ’s proviso ” give mighty boost seek stop extension slavery ’s domain.29,152,"[1846, 1787]",1816,2,1825,1850
264,"Map 5. The American Empire, 1850.",['1850'],map 5 empire 1850,4,[1850],1850,1,1875,1900
265,"On July 4, 1848, a large contingent of dignitaries gathered in the capital to place the cornerstone of a new monument to honor the memory of George Washington. Located on a knoll not far from Capitol Hill, at a projected height of more than five hundred feet the marble obelisk when completed would be the tallest man-made structure in the world, casting an imposing shadow over the still mostly unbuilt landscape of the capital. In contrast to the Greco-Roman architecture characteristic of most other public buildings in the capital, the Washington Monument bowed in the direction of Egypt, another ancient empire renowned for its monumentalism. And even though the Washington Monument did not rival the Pyramids in scale, it, along with the U.S. Capitol Building then under construction, stands among the preeminent architectural accomplishments of its time, symbolizing not only the nation’s preeminent founder but also the astounding energies and accomplishments of its people. The construction of the imposing spire vividly demonstrated the rising veneration Americans felt for Washington. Who knew what future American leader might merit a similar memorial?","['July 4, 1848']",july 4 1848 large contingent dignitary gather capital place cornerstone new monument honor memory george washington locate knoll far capitol hill project height foot marble obelisk complete tall man structure world cast impose shadow unbuilt landscape capital contrast greco roman architecture characteristic public building capital washington monument bow direction egypt ancient empire renown monumentalism washington monument rival pyramid scale u.s capitol building construction stand preeminent architectural accomplishment time symbolize nation ’s preeminent founder astounding energy accomplishment people construction impose spire vividly demonstrate rise veneration american feel washington know future leader merit similar memorial,93,[1848],1848,1,1850,1850
266,"The republican revolutions that broke out all across Europe that same year provided further evidence that the tide of world history flowed in an American direction. In dozens of European states, liberal democratic uprisings challenged the restorationist monarchical status quo. Americans attributed the upheaval in no small measure to their own democratic republican example. The European liberal revolutions so inspired some Americans as to prompt them to take part in the struggles, most famously the writer Margaret Fuller. Traveling to Rome in 1846 to cover the upheaval as a journalist, she soon married an Italian revolutionary, bore his child, and assumed a prominent role in the revolutionary movement. Only her journal survived her tragic death at sea in 1850 while she was returning home in the wake of the defeat of the revolutionary forces. Her colleague Thoreau later recovered this invaluable record from the wreckage of the ship off Long Island. Fuller’s waterlogged journal provided the best American eyewitness account of the continent-wide upheavals of 1848. That most of these revolutions ultimately failed did not lessen their impact as what many Americans perceived as another step on the way to universal human emancipation.","['same year', '1846', '1850', '1848']",republican revolution break europe year provide evidence tide world history flow direction dozen european state liberal democratic uprising challenge restorationist monarchical status quo american attribute upheaval small measure democratic republican example european liberal revolution inspire american prompt struggle famously writer margaret fuller travel rome 1846 cover upheaval journalist soon marry italian revolutionary bear child assume prominent role revolutionary movement journal survive tragic death sea 1850 return home wake defeat revolutionary force colleague thoreau later recover invaluable record wreckage ship long island full ’s waterlogged journal provide good eyewitness account continent wide upheaval 1848 revolution ultimately fail lessen impact american perceive step way universal human emancipation,105,"[1846, 1850, 1848]",1848,3,1850,1850
267,"A major turning point in European history, 1848 also proved significant in U.S. history. The Mexican-American War transformed the republic in many ways, among them being a greatly strengthened executive branch of government. James Polk became the first true commander in chief in U.S. history, the first president to assume close control of both the domestic and the foreign aspects of the struggle. He oversaw the domestic mobilization for war and had an unprecedented hands-on approach to the conduct of the war itself, thanks in large part to the enhanced communication offered by the telegraph, which allowed him to monitor and direct events on a daily basis. As the first American president to manage the conquest of a foreign state, Polk established a military government in Mexico, thereby pushing the limits of executive authority into new territory. On March 23, 1847, Polk had issued an executive order enabling American forces to take over Mexican customhouses and collect import duties to help defray the cost of the war. Polk justified this practice by what he termed the “right of the conqueror to levy contributions upon the enemy in their seaports, towns, or provinces.”1 The first U.S. experience in occupying a foreign nation resulted in a significant increase in the centralized power of the national government and became a key precedent for future commanders in chief.","['1848', 'daily', 'March 23, 1847']",major turning point european history 1848 prove significant u.s history mexican war transform republic way greatly strengthen executive branch government james polk true commander chief u.s history president assume close control domestic foreign aspect struggle oversee domestic mobilization war unprecedented hand approach conduct war thank large enhanced communication offer telegraph allow monitor direct event daily basis president manage conquest foreign state polk establish military government mexico push limit executive authority new territory march 23 1847 polk issue executive order enable force mexican customhouse collect import duty help defray cost war polk justify practice term “ right conqueror levy contribution enemy seaport town provinces.”1 u.s experience occupy foreign nation result significant increase centralized power national government key precedent future commander chief,120,"[1848, 1847]",1848,2,1850,1850
268,"The tumultuous events of 1848 climaxed with Polk’s official confirmation of the gold strike in newly acquired California. The mineral windfall of historic proportions seemingly provided further proof that God smiled on the American people. Polk’s ambitions for ports on the Pacific now seemed remarkably prescient and not a bit premature. The United States stood poised to become a Pacific power. The president envisioned a dynamic future: “By the possession of the safe and capacious harbors on the California coast we shall have great advantages in securing the rich commerce of the East, and thus obtain for our products new and increased markets.”2 California’s sudden emergence as a western terminus accelerated calls for the construction of a transcontinental railroad linking what had only a few years earlier been the seemingly unconquerable space between the oceans.","['1848', 'only a few years earlier']",tumultuous event 1848 climax polk ’s official confirmation gold strike newly acquire california mineral windfall historic proportion seemingly provide proof god smile people polk ’s ambition port pacific remarkably prescient bit premature united state stand poise pacific power president envision dynamic future “ possession safe capacious harbor california coast shall great advantage secure rich commerce east obtain product new increase markets.”2 california ’s sudden emergence western terminus accelerate call construction transcontinental railroad link year earlier seemingly unconquerable space ocean,79,[1848],1848,1,1850,1850
269,"The nearly 500,000 square miles acquired via the Treaty of Guadalupe-Hidalgo did not slake Polk’s expansionist desires. Nicholas Trist’s handiwork, however well received by Congress and the public, did not go nearly far enough for Polk, whose expanded ambitions for Mexico had been for a border at Tampico and a guarantee of the transit rights across the Isthmus of Tehuantepec. As with the Oregon question, where Polk had used the cry of “54–40 or Fight” as leverage to gain a boundary at the forty-ninth parallel, he had wanted to use the extreme demands of the “all of Mexico” faction as a wedge to gain the lightly populated northern portion he really desired. Yet Trist’s defiance had frustrated this aim. For a while it appeared that the United States might acquire almost the entire western edge of the Caribbean basin. In 1847, a Mayan Indian revolt against the Creole population of the Yucatan Peninsula seemed to present an opportunity for the annexation of that part of Mexico as well. Outnumbered by the native population and effectively abandoned by authorities in far-off Mexico City, in early 1847 the Creoles began seeking the protection of a foreign government. They petitioned Spain, Great Britain, and the United States for help against the uprising, the result of centuries of oppressive rule by a numerically tiny, light-skinned elite. Polk urged Congress to respond to this call, if only to prevent an expansion of European power in the hemisphere in violation of the Monroe Doctrine. By mid-1848, however, the native rebellion receded and with it the hope that the Yucatan peninsula might be annexed. Thus the southern boundary remained at the Rio Grande, and the dreams for acquiring still more of Mexico became a tantalizing “What if?” in the history of the American Empire.","['forty-ninth', '1847', 'early 1847', 'centuries', 'mid-1848']","nearly 500,000 square mile acquire treaty guadalupe hidalgo slake polk ’s expansionist desire nicholas trist ’s handiwork receive congress public nearly far polk expand ambition mexico border tampico guarantee transit right isthmus tehuantepec oregon question polk cry “ 54–40 fight ” leverage gain boundary ninth parallel want use extreme demand “ mexico ” faction wedge gain lightly populate northern portion desire trist ’s defiance frustrate aim appear united state acquire entire western edge caribbean basin 1847 mayan indian revolt creole population yucatan peninsula present opportunity annexation mexico outnumber native population effectively abandon authority far mexico city early 1847 creole begin seek protection foreign government petition spain great britain united state help uprising result century oppressive rule numerically tiny light skinned elite polk urge congress respond prevent expansion european power hemisphere violation monroe doctrine mid-1848 native rebellion recede hope yucatan peninsula annex southern boundary remain rio grande dream acquire mexico tantalizing “ ” history empire",154,"[1847, 1847, 1848]",1847,3,1850,1850
270,"The territories acquired from Mexico did not lessen Polk’s intense interest in the annexation of Cuba. Cuba had long been an object of North American imperial desire. As early as 1805, Jefferson had contemplated its acquisition, remarking, “I have ever looked upon it as the most interesting addition that could be made to our system of states.” In 1823, John Quincy Adams had hypothesized a law of political gravity that destined Cuba to fall into the hands of the United States like a piece of rapidly ripening fruit. The island’s strategic position at the mouth of the Gulf of Mexico made it seem a natural extension of the North American union, especially after the annexation of Florida in 1819. The tenuous to nonexistent grounds by which the United States claimed Cuba necessitated imaginative justifications for its annexation. One such view suggested that Cuba belonged to the United States insofar as the island was deemed to consist of the accumulated American soil deposited offshore by the Mississippi River.","['1805', '1823', '1819']",territory acquire mexico lessen polk ’s intense interest annexation cuba cuba long object north imperial desire early 1805 jefferson contemplate acquisition remark “ look interesting addition system state ” 1823 john quincy adams hypothesize law political gravity destine cuba fall hand united state like piece rapidly ripen fruit island ’s strategic position mouth gulf mexico natural extension north union especially annexation florida 1819 tenuous nonexistent ground united state claim cuba necessitate imaginative justification annexation view suggest cuba belong united state insofar island deem consist accumulate soil deposit offshore mississippi river,90,"[1805, 1823, 1819]",1816,3,1825,1850
271,"The rising influence of the cultural phenomenon known as “Young America” also increased the desire for Cuba. Comprised of journalists and politicians, the movement had an activist political wing that included prominent Democrats John L. O’Sullivan, Stephen F. Douglas, and August Belmont. They gained renown as full-fledged spread-eagle expansionists and true believers in American republican ideology eager to “expand the area of freedom” (as Jackson put it in 1844) wherever impulse or opportunity beckoned. They had little patience for the cautious nationalism of older Jacksonians, whom they derided as old fogies. Taking their name from Ralph Waldo Emerson’s 1844 essay “The Young American,” this group waxed exuberant about the success of the United States and became intoxicated by contemplating the grand achievements that lay ahead. Senator Robert Stockton, who as a navy commodore had played a major role in the conquest of California, epitomized the attitude of the movement in a speech to Congress in 1852: “We are, in truth, the residuary legatees of all that the blood and treasure of mankind expended for four thousand years have accomplished in the cause of human freedom…. What course then, shall this government take to perpetuate our liberties and to diffuse our free institutions over the world?”3","['August', '1844', '1844', '1852', 'four thousand years']",rise influence cultural phenomenon know “ young america increase desire cuba comprise journalist politician movement activist political wing include prominent democrat john l. o’sullivan stephen f. douglas august belmont gain renown fledge spread eagle expansionist true believer republican ideology eager “ expand area freedom jackson 1844 impulse opportunity beckon little patience cautious nationalism old jacksonian deride old fogy take ralph waldo emerson ’s 1844 essay “ young ” group wax exuberant success united state intoxicated contemplate grand achievement lie ahead senator robert stockton navy commodore play major role conquest california epitomize attitude movement speech congress 1852 “ truth residuary legatee blood treasure mankind expend thousand year accomplish because human freedom … course shall government perpetuate liberty diffuse free institution world?”3,120,"[1844, 1844, 1852]",1847,3,1850,1850
272,"Against this backdrop of intense ideological zeal, the acquisitions from Mexico merely whetted the expansionist appetite for more. As concerns Cuba, the expansionist desire to enlarge the area of freedom mixed with the desire to expand and defend the institution of slavery and the way of life it represented. The impetus for annexation came from elements in Cuba as well as the United States. Slave-owning elites in Cuba, like those in the American South, uneasily eyed the rising abolitionist tide around them. They feared that Britain aimed to take Cuba in order to abolish slavery, part of its effort to create a global free-labor system. Like their counterparts in the South, Cuban slave owners feared that international agitation against slavery might precipitate another revolt as occurred in Haiti, leading to the prospect of unspeakable acts of violence and retribution against the elite. By the 1840s, a de facto alliance of Cuban and Southern slave owners had coalesced into a political force.",['the 1840s'],backdrop intense ideological zeal acquisition mexico merely whet expansionist appetite concern cuba expansionist desire enlarge area freedom mix desire expand defend institution slavery way life represent impetus annexation come element cuba united state slave own elite cuba like south uneasily eye rise abolitionist tide fear britain aim cuba order abolish slavery effort create global free labor system like counterpart south cuban slave owner fear international agitation slavery precipitate revolt occur haiti lead prospect unspeakable act violence retribution elite 1840s de facto alliance cuban southern slave owner coalesce political force,89,[1840],1840,1,1850,1850
273,"In January 1847, O’Sullivan and New York newspaperman Moses Y. Beach had joined with members of the Club de la Habana, a clique of Cuba’s wealthiest planters, to prepare a formal plan of annexation to be presented to President Polk. For several months, O’Sullivan and others personally lobbied the administration to back a plan to purchase Cuba for $100 million. The canny Polk showed little interest in the scheme, keeping his focus on the still-unresolved war with Mexico. By mid-1848, however, Polk sprang into action. On June 9, the same day he received confirmation that the Mexican legislature had ratified the Treaty of Guadalupe-Hidalgo, Polk prepared instructions to U.S. minister to Cuba Romulus Saunders authorizing him to offer Spain as much as $100 million for the island. Rumors that Cuba verged on revolt encouraged Polk to act. It seemed as if the old expansionist formula might work once more: A revolutionary party acts to seize power as a first step toward annexation by the United States. But Spain’s representatives in Cuba flatly refused negotiations of any sort, loudly declaring that they “would rather see Cuba sunk in the ocean” than see it sold to the United States. Polk, his tumultuous time in office nearing an end, chose not to push the issue.","['January 1847', 'several months', 'mid-1848', 'June 9', 'the same day']",january 1847 o’sullivan new york newspaperman mos y. beach join member club de la habana clique cuba ’s wealthy planter prepare formal plan annexation present president polk month o’sullivan personally lobby administration plan purchase cuba 100 million canny polk show little interest scheme keep focus unresolved war mexico mid-1848 polk spring action june 9 day receive confirmation mexican legislature ratify treaty guadalupe hidalgo polk prepared instruction u.s minister cuba romulus saunder authorize offer spain 100 million island rumor cuba verge revolt encourage polk act old expansionist formula work revolutionary party act seize power step annexation united state spain ’s representative cuba flatly refuse negotiation sort loudly declare “ cuba sink ocean ” sell united state polk tumultuous time office near end choose push issue,124,"[1847, 1848]",1848,2,1850,1850
274,"Official efforts to acquire Cuba ended with the accession to power of Zachary Taylor and the Whigs in 1849. As Polk had feared, Taylor’s battlefield successes made him a formidable political candidate and led to an easy victory in the 1848 presidential election over Representative Lewis Cass of Michigan, whose zealous expansionism rang hollow when compared to the call by Taylor, the war hero, for restraint. Millard Fillmore continued taking this cautious attitude toward further expansionism after Taylor’s death in office in 1850.","['1849', '1848', '1850']",official effort acquire cuba end accession power zachary taylor whig 1849 polk fear taylor ’s battlefield success formidable political candidate lead easy victory 1848 presidential election representative lewis cass michigan zealous expansionism ring hollow compare taylor war hero restraint millard fillmore continue take cautious attitude expansionism taylor ’s death office 1850,51,"[1849, 1848, 1850]",1849,3,1850,1850
275,"The change in presidential attitudes toward expansion prompted a change in tactics by the Cuban annexationist faction. The group now began to make plans for an invasion of the island to be led by the Venezuelan-born soldier of fortune Narciso Lopez. Lopez, almost forgotten today, for a while in the late 1840s and early 1850s dominated newspaper headlines with his various schemes to revolutionize Cuba in preparation for its admission to the Union. After arriving in New York in 1848 following an unsuccessful attempt to start a revolt in Cuba, Lopez joined with other Cuban annexationists (including O’Sullivan) to form the Junta Cubano. When the Club of Havana could not convince Mexican-American War general William Jenkins Worth to take command of an invasion force, Lopez had his opportunity. He became the public face of the annexationist clique: His long mustache and fancy uniformed attire met the public’s expectation of what a Cuban freedom fighter should look like. Working with annexationist cells in New Orleans, New York, Baltimore, and other cities, and aided by a network of Masonic allies, many of whom were themselves staunch Cuban annexationists, Lopez very publicly raised his clandestine army. In the fall of 1848, U.S. navy patrols quarantined and eventually broke up an invasion force of approximately 600 men gathered on Round Island outside New Orleans. Undaunted, Lopez and his followers, including Ambrosio Gonzalez, a Cuban-born American citizen who functioned as Lopez’s confidant and translator, continued to advertise for volunteers to join an invasion. In May 1850, Lopez landed an invasion force of about 500 men in the town of Cardenas. Flying the Lone Star flag that later would be the flag of an independent Cuba, Lopez’s force engaged in fierce fighting with Spanish troops, momentarily taking the town of Cardenas before frantically fleeing back to Key West with a Spanish warship in hot pursuit.","['today', 'the late 1840s', 'early 1850s', '1848', 'the fall of 1848', 'May 1850']",change presidential attitude expansion prompt change tactic cuban annexationist faction group begin plan invasion island lead venezuelan bear soldier fortune narciso lopez lopez forget today late 1840 early 1850 dominate newspaper headline scheme revolutionize cuba preparation admission union arrive new york 1848 follow unsuccessful attempt start revolt cuba lopez join cuban annexationist include o’sullivan form junta cubano club havana convince mexican war general william jenkins worth command invasion force lopez opportunity public face annexationist clique long mustache fancy uniformed attire meet public ’s expectation cuban freedom fighter look like work annexationist cell new orlean new york baltimore city aid network masonic ally staunch cuban annexationist lopez publicly raise clandestine army fall 1848 u.s navy patrol quarantine eventually break invasion force approximately 600 man gather round island outside new orlean undaunted lopez follower include ambrosio gonzalez cuban bear citizen function lopez ’s confidant translator continue advertise volunteer join invasion 1850 lopez land invasion force 500 man town cardenas fly lone star flag later flag independent cuba lopez ’s force engage fierce fighting spanish troop momentarily take town cardenas frantically flee key west spanish warship hot pursuit,185,"[1840, 1850, 1848, 1848, 1850]",1847,5,1850,1850
276,"Despite having twice failed to revolutionize Cuba, Lopez gained in celebrity upon his return to the United States. Attempts to prosecute him and his compatriots for violation of the neutrality statutes failed owing to the limited enforcement resources of the national government, the reluctance of local juries to convict a man widely seen as a hero, and by the emerging ability of the national press to create popular heroes in the name of selling papers. Tom Chaffin notes that “[b]y May 1850 Narciso Lopez’s prominence in U.S. popular opinion owed as much to editors who simply wanted to sell more newspapers as to his ability to convince U.S. citizens of the righteousness of his cause.”4",['May 1850'],despite have twice fail revolutionize cuba lopez gain celebrity return united state attempt prosecute compatriot violation neutrality statute fail owe limited enforcement resource national government reluctance local jury convict man widely see hero emerge ability national press create popular hero sell paper tom chaffin note “ b]y 1850 narciso lopez ’s prominence u.s popular opinion owe editor simply want sell newspaper ability convince u.s citizen righteousness cause.”4,67,[1850],1850,1,1875,1900
